Friction_Code,Friction_Name,Layer,Subcategory,Manifestation,Symptoms,Root_Cause,Consequences,Prevalence,Primary_Persona,Secondary_Persona,Resolution_Narrative
P1.1,Professional Identity Erosion,Psychological,Identity Threat,Employees perceive AI as devaluing expertise they've spent years/decades building,"'AI commoditizes what made me valuable'; Resistance framed as 'AI can't understand complexity' (expertise defense); Avoidance of AI tools despite training completion",Professional identity = technical mastery; AI suggests mastery is automatable,"Shallow usage (compliance theater), active sabotage (finding reasons AI 'doesn't work')",60-70% of employees with 10+ years domain experience,Subject Matter Experts,Senior Technical Staff,"Address through Dilts Level 1-2 workshops: Reframe identity from 'I am my technical skills' to 'I am a judgment-maker augmented by AI'. Use PVMAR framework to align individual expertise with strategic value (judgment, relationships, innovation) that AI cannot replace. Create new status hierarchy recognizing 'AI-augmented expert' as higher tier than 'traditional expert'. Showcase early adopters who leveraged AI to multiply impact, not replace expertise."
P1.2,Role Clarity Ambiguity,Psychological,Identity Threat,Employees unclear how their job changes with AI ('Am I manager reviewer trainer or obsolete?'),"'What's my role if AI does the analysis?'; Waiting for clarity rather than experimenting; Role confusion creates paralysis",Organizations deploy tools before defining new roles/responsibilities,"Low adoption despite tool availability—employees don't know how to integrate AI into workflows",50-60% of employees at mid-management/specialist levels,Mid-Level Managers,Business Analysts,"Co-create new role definitions with employees through facilitated workshops. Document 'Day in the Life' workflows showing before/after AI integration with clear handoffs. Develop role-specific adoption playbooks (e.g., 'Financial Analyst in AI Era' specifying: AI generates draft analysis, human validates assumptions, human presents insights with strategic recommendations). Provide role clarity through peer testimonials and manager coaching conversations."
P1.3,Competence Anxiety,Psychological,Identity Threat,Fear of appearing incompetent if unable to use AI effectively,"Avoiding AI in public/collaborative settings; Only using AI privately, not sharing results; Asking for 'more training' as delay tactic",Performance anxiety in learning new skills publicly especially for senior staff,Underground/shadow usage without knowledge-sharing,40-50% of employees highest among senior/visible roles,Senior Staff,C-Suite Executives,"Create psychologically safe learning environments through 'Learning Labs' where experimentation is celebrated. Implement 'Executive AI Office Hours' where leaders publicly learn alongside teams. Use storytelling to normalize struggle ('Even our CTO's first prompt was terrible—here's what we learned'). Provide private practice environments before public usage. Pair senior staff with peer mentors (not junior trainers) for dignity-preserving learning. Reframe competence from 'knows how' to 'learns fast'."
P1.4,Loss of Status/Recognition,Psychological,Identity Threat,Tasks that earned recognition (complex analysis problem-solving) now automated,"'Leadership won't value my work if AI does it'; Resentment toward AI adopters ('They're taking shortcuts')",Recognition systems tied to task completion not outcome quality,Elite performers resist adoption (have most to lose in status),30-40% of high performers,High Performers,Department Stars,"Redesign recognition systems to reward outcome quality and innovation rather than task completion. Create visible 'AI Pioneers' awards celebrating employees who use AI to achieve breakthrough results. Shift status hierarchy from 'works hardest' to 'creates most value' through executive messaging and promotion decisions. Provide high performers with exclusive access to advanced AI capabilities (status through early access). Document case studies showing high performers who 10x'ed their impact through AI adoption."
P2.1,Limiting Belief: AI Can't Handle Complexity,Psychological,Belief System,Conviction that AI works for simple tasks but fails on nuanced/complex problems,"Selective usage (trivial tasks only); Testing AI on edge cases to 'prove' it fails; Anecdotal evidence of failures generalized",Complexity = professional value; admitting AI handles complexity = admitting replaceability,"AI relegated to low-value tasks, never proves transformative value",50-60% of domain experts,Domain Experts,Senior Analysts,"Use Sleight of Mouth reframing: 'AI handles algorithmic complexity so you can focus on ambiguous complexity (stakeholder management, strategic choices)'. Demonstrate AI success on progressively complex tasks through live challenges. Create 'Complexity Continuum' showing AI handles certain complexity types (data-intensive, pattern recognition) while humans excel at others (political navigation, ethical judgment). Use peer testimonials from respected experts who initially held same belief but changed after evidence."
P2.2,Limiting Belief: AI Threatens Job Security,Psychological,Belief System,Existential fear that demonstrating AI effectiveness accelerates own obsolescence,"Passive resistance (don't obstruct, but don't help); Highlighting AI failures disproportionately; 'Automation layoff' narratives spread informally",Historical precedent (automation eliminated jobs) + organizational silence on workforce strategy,Adoption seen as career risk rather than career opportunity,40-50% of workforce especially in efficiency-focused cost-cutting environments,Mid-Career Employees,Operations Staff,"Provide explicit workforce strategy transparency: 'AI will eliminate tasks, not roles—we're redeploying capacity to growth initiatives'. Implement 'AI Skills = Job Security' narrative backed by data (companies with AI skills have higher employment growth). Create redeployment examples showing employees who automated their old role and moved to higher-value role. Offer 'Automation Bonus'—employees who automate their tasks get first access to new opportunity roles. Publicly commit to no AI-related layoffs during transformation period (12-24 months)."
P2.3,Limiting Belief: I'm Accountable for AI Mistakes,Psychological,Belief System,Fear that following AI recommendations creates unacceptable career risk if outcomes are negative,"'If AI is wrong, I'm fired—algorithm isn't'; Only using AI when human decision would reach same conclusion (confirmation bias usage); Requiring multiple validations before trusting AI output","Accountability structures unclear (who owns AI-assisted decisions?), incident reviews blame humans not systems","AI never influences critical decisions—relegated to advisory/informational role",60-70% in safety-critical or financially consequential domains,Risk Managers,Compliance Officers,"Establish clear accountability frameworks distinguishing 'AI-assisted' vs. 'AI-automated' decisions with documented RACI matrices. Create 'safe-to-fail' decision zones where AI recommendations can be followed with organizational air cover. Implement incident review protocols that analyze system design (not individual blame) when AI-assisted decisions fail. Provide decision insurance through oversight committees that share accountability. Document precedent cases showing fair treatment of employees who made reasonable AI-assisted decisions that failed."
P2.4,Limiting Belief: AI Lacks Intuition/Judgment,Psychological,Belief System,Belief that human intuition/pattern recognition is categorically superior to statistical inference,"'AI can't understand context like I can'; 'You need feel for this business/market/customer'; Dismissing AI recommendations as 'technically correct but practically wrong'",Mystique of expertise ('I just know') protects status; AI demystifies decision-making,AI adoption threatens to expose that 'intuition' is pattern recognition AI can replicate,50-60% of senior decision-makers (executives traders clinicians),Senior Decision-Makers,Traders/Clinicians,"Reframe intuition as 'fast pattern recognition from experience' which AI can learn from historical data. Demonstrate cases where AI detected patterns expert intuition missed (blind spots). Position AI as 'democratized intuition'—giving junior staff access to patterns senior experts accumulated over decades. Use A/B testing showing AI + human judgment outperforms either alone. Create 'Expert + AI' pilot programs where senior decision-makers document their intuition rules for AI to learn from."
P3.1,Misaligned Incentives,Psychological,Motivation & Incentive,Individual performance metrics don't reward AI usage or penalize non-usage,"'Why should I use AI? I hit my targets without it'; AI adoption seen as extra work with no benefit",Incentive systems (comp promotion) lag strategy (AI-first rhetoric vs. traditional performance metrics),Rational actors maximize personal outcomes by ignoring AI,70-80% of organizations in first 12 months of AI deployment,Individual Contributors,Sales Teams,"Redesign performance management systems to include AI adoption metrics alongside outcome metrics. Implement 'AI Accelerator' bonus tied to documented time savings or quality improvements from AI usage. Make AI proficiency requirement for promotion to senior roles. Create competitive leaderboards showing 'Most AI-Enabled Value Creation'. Fast-track high performers who demonstrate AI adoption in performance review cycles. Ensure managers are evaluated on team AI adoption rates."
P3.2,Loss Aversion (Effort Investment),Psychological,Motivation & Incentive,Perceived effort to learn AI exceeds perceived benefit,"'I don't have time to learn this'; Waiting for tools to become 'easier' rather than investing learning time",Cognitive bias—potential losses (time frustration) loom larger than potential gains (efficiency quality),Procrastination adoption delayed indefinitely,50-60% of employees especially those with heavy workloads,Overloaded Employees,Project Managers,"Reduce initial investment friction through 'microlearning' (15-minute modules). Provide 'AI Concierge' service where experts set up first use case for employee. Create 'Protected Learning Time' policy (2 hours/week designated AI experimentation). Demonstrate quick wins (ROI in first week) through role-specific templates. Implement 'Learning Investment Matching'—organization provides equivalent time back (e.g., automate reporting task first, freeing time for deeper AI learning)."
